last checked,Camp Name,Status,Location,Age,2026 Dates,Description,Hours,Pricing,Website
Done,4ft and Up Kitchen,In Person,Pacific Heights,Age 4 - 12,June 15 - August 21,Cooking camp,9:00am - 3:15pm,$775/week,https://www.4ftandupkitchen.com/summer-camp
Done,ABADA-Capoeira San Francisco,In Person,Mission,Age 5-12,June 8 - August 7,Capoeira camp,9:00am - 4:00pm,$550/child,https://abada.org/summer-camp/
Done,Acrosports,In Person,Cole Valley,Age 4.5-12,June 8 - August 14,Circus arts,8:45am - 3:00pm,Lottery,https://www.acrosports.org/camps/
Done,Adventure Camp,In Person,Presidio,Ages 4-12,June 4 - August 28,Mobile day camp,9:00am - 3:00pm,$725/session,adventurecampsf.com
Done,Aim High,In Person,San Francisco,Rising 5th - 8th,June 22 - July 24,Summer learning,8:30am - 3:30pm,Free,https://aimhigh.org/summer-2026/
Done,Alta Vista School Camp,In Person,Portola,Kinder - 6th,June 22 - July 31,Various activities,9:00am - 3:00pm,$350 - $675,https://www.homeroom.com
Done,Alonzo King LINES Ballet Camp,In Person,SOMA,Age 11-17,June 29 - August 1,Ballet,Varies,Varies,https://linesballet.org
Done,ANTS Sports,In Person,Sunset and Cole Valley,K - 5th Grade,June 4 - August 14,Multi-sport,9:00am - 4:00pm,$495/week,https://www.antssports.com/summer-sf/
Done,Artifact,In Person,Cow Hollow,Age 4-13,May 25 - August 28,Art camp,9:00am - 3:00pm,$590-$735,https://www.sfartifact.com
Done,ASEP Camp,In Person,TBD,Age 4 - 11,June 8 - July 22,STEAM,8:00am - 5:00pm,$350/week,https://www.asepsf.org
Done,Aventuras,In Person,Mission,Kinder - 5th,June 5 - August 15,Experiential learning,9:30am - 4:30pm,$600/week,https://www.aventurassf.com
Done,Barrios Martial Arts,In Person,Potrero Hill,Age 4-11,June 16 - August 1,Martial arts,9:00am - 4:00pm,$625-$675/week,https://www.barriosmartialarts.com
Done,Bay Club,In Person,Financial District,Ages 3 - 17,Must login,Sports camps,Varies,Varies,https://www.bayclubs.com
Done,Bird Rock Star Summer Music Camp,In Person,Russian Hill,Grades 2 - 9,June 8 - August 21,Music camp,10:00am - 5:00pm,$550-$800,https://www.bird-sf.com/camps
Done,Buena Vista Spanish Immersion,In Person,Mission,Kinder - 4th,Register for Dates,Spanish immersion,9:00am - 4:00pm,$600/week,https://www.buenavistachildcare.org
Done,Butterfly Joint,In Person,Outer Richmond,Grade 1+,June 9 - August 22,Woodworking,9:00am - 3:00pm,$475 - $530/week,http://thebutterflyjoint.com/
Done,Calvary Nursery School,In Person,Pacific Heights,Age 2.5 - 6,June 16 - August 8,Preschool camp,8:30am - 3:00pm,$400-$675,https://www.calvarynurseryschoolsf.org
Done,Camp 4K,In Person,Inner Sunset,Grades 1 - 7,June 8 - June 26,Arts and Tech,9:30am - 3:30pm,$1350/three weeks,https://www.camp4k.com/
Done,Camp Commotion,In Person,Mission,Age 2 - 6,June 30 - August 1,Movement,Contact for info,$500/week,https://www.projectcommotion.org
Done,Camp Doodles,In Person,Hayes Valley,PreK - 10th,June 15 - August 14,Multi-activity,9:00am - 4:00pm,Varies,http://campdoodles.com/
Done,Camp Firedragon,In Person,Park Merced,Age 2.5-14,June 15 - August 21,CAIS camp,8:30am - 4:00pm,Varies,https://campfiredragon.org/
Done,CampQuest,In Person,Inner Sunset,Grades 1 - 6,June 29 - July 10,Cantonese immersion,9:15am - 3:45pm,$850/two weeks,https://campcquest.com/
Done,Canvas Dance Arts,In Person,Central Richmond,Grades K - 8,June 22 - July 31,Dance,9:00am - 3:00pm,$560/week,https://canvasdancearts.com
Done,Celsius and Beyond,In Person,Inner Richmond,Grades 1-9,June 9 - August 21,Science camp,9:00am - 4:00pm,$735/week,https://celsiusandbeyond.com
Done,Children's Creativity Museum,In Person,SOMA,Age 5 - 14,July 7 - August 1,Theater,9:00am - 4:00pm,$300 - $1150,https://creativity.org/summercamps/
Done,Children's Day School,In Person,Mission,Preschool - 8th,June 22 - August 7,Various,Register,Register,http://camp.cds-sf.org/
Done,Chris Babcock Art Camp,In Person,Central Richmond,Age 6.5 - 17,June 8 - September 4,Art camp,9:00am - 3:00pm,$799/week,https://chrisbabcockartprep.org
Done,Church of Clown,In Person,Bayview,Age 7 - 13,July 7 - July 18,Circus,9:00am - 3:00pm,$500/week,https://www.churchofclown.org
Done,Ciclo Sewing Lab,In Person,Inner Sunset,Age 6 - 14,June 8 - August 21,Sewing,9:30am - 3:00pm,$720/week,https://ciclosf.com/
Done,Circus Center,In Person,Cole Valley,Age 7-13,June 8 - August 14,Circus arts,9:00am - 3:00pm,$650/week,http://circuscenter.org/camp
Done,City Kids Summer Camp,In Person,Golden Gate Park,Age 8-12,June 8 - August 21,Outdoor,8:30am - 4:00pm,$550/week,https://www.sfcitykidcamp.com/
Done,Camp CMC,In Person,Outer Richmond,Age 9-14,Dates vary,Music,9:00am - 3:00pm,Varies,https://sfcmc.org
Done,Camp SFS,In Person,Portola,PreK - 8th,June 15 - July 24,Various,9:00am - 3:30pm,Varies,https://the-san-francisco-school.jumbula.com
Done,Chabad Jewish Kids Camp,In Person,West Portal,Age 4 - 10,June 4 - June 26,Jewish camp,9:00am - 4:00pm,$425/week,https://www.chabadneighborhood.com
Done,Coastal Camp,In Person,Marin Headlands,Grade K - 12,June 15 - August 14,Nature,9:30am - 3:30pm,$595-$695/week,https://coastalcamp.org/
Done,Coder School,In Person,Inner Richmond,Age 7 - 10+,June 8 - August 14,Coding,9:00am - 3:00pm,$599/week,https://www.thecoderschool.com
Done,Creative IQ Art Camp,In Person,Outer Richmond,Age 7-17,June 4 - August 21,Art,9:00am - 3:00pm,$640/week,https://www.creativeiqsf.com
Done,Culinary Artistas,In Person,Russian Hill,Age 4-10,June 8 - August 28,Cooking,9:00am - 3:00pm,$840/week,https://culinaryartistas.com
Done,Dahlia School,In Person,Mission Bay,Age 2-11,June 5 - July 26,Various,Varies,Varies,https://thedahliaschoolsf.org
Done,Dance Mission Theater,In Person,Mission,Girls Age 6-13,June 8 - June 26,Dance,Varies,Varies,http://www.dancemission.com
Done,Dance Training Center SF,In Person,Central Richmond,Girls Age 8+,Varies,Dance,Varies,Varies,https://www.dtc-sf.com/
Done,Dogpatch Games Camp,In Person,Dogpatch,Age 8-17,June 15 - August 14,Board games/D&D,9:00am - 5:00pm,$725 - $895,https://www.dogpatch.games
Done,Dogpatch Paddle,In Person,Dogpatch,Age 7-16,June 1 - August 21,Paddle sports,8:30am - 3:00pm,Varies,https://dogpatchpaddle.com
Done,Education Francais Bay Area,In Person,Sunset,Age 4 - 12,June 11 - August 7,French immersion,8:30am - 3:00pm,Varies,https://efba.us
Done,Eureka Valley Arts,In Person,Diamond Heights,Age 5 - 12,June 9 - August 15,Art,9:00am - 5:00pm,$575/week,https://eurekavalleyarts.com/
Done,Fightin Irish Sports,In Person,Fillmore,Age 9-14,June 8 - July 17,Sports,9:00am - 3:00pm,$525/week,https://www.shcp.edu/summer
Done,First Tee,In Person,Park Merced,Age 6-17,June 9 - August 9,Golf,Varies,$300-$700,https://firstteesanfrancisco.org
Done,Forest Bloom,In Person,Golden Gate Park,Age 2.5 - 6,June 4 - September 4,Nature,9:00am - 3:00pm,Varies,https://forestbloomschool.com
Done,Frame Art Studio,In Person,Portola,Age 5 - 12,June 9 - July 25,Art,10:00am - 2:00pm,$360,https://frameartstudio.com
Done,Galileo,In Person,Hayes Valley,K - 10th,June 22 - August 14,Innovation,9:00am - 3:00pm,$540-$610/week,http://www.galileo-camps.com/
Done,Gem Studio,In Person,Mission,Age 5-12,June 9 - August 15,Multi-media art,9:00am - 3:00pm,$550-$575/week,https://www.gemstudiosf.com
Done,German International School,In Person,Castro,PreK - 8th,June 29 - July 31,German immersion,9:00am - 4:00pm,$590/week,https://www.gissv.org
Done,Giants Baseball Camp,In Person,West Sunset,Age 4 - 15,June 8 - August 14,Baseball,9:00am - 3:00pm,$695 - $795/week,https://www.mlb.com/giants
Done,Girlfly,In Person,Civic Center,Girls Age 14-19,July 6 - July 30,Aerial dance,10:00am - 3:00pm,Apply,https://flyawayproductions.com
Done,Girls Unite,In Person,TBD,Age 5 - 15,June 5 - August 21,Soccer,9:00am - 3:00pm,Varies,https://girlsunite.org
Done,Golden Bridges Farm Camp,In Person,Mission Terrace,Age 4.5-12,June 15 - August 14,Farm,9:00am - 3:00pm,$500/week,https://www.goldenbridgesschool.org
Done,Golden Gate Art & Nature,In Person,Laurel Heights,Age 3-7,June 2 - August 15,Art/nature,Varies,$600 - $700/week,https://ggartnature.com/
Done,Golden Gate Skateboarding,In Person,Waller St,Age 6-14,June 9 - August 29,Skateboarding,9:30am - 3:30pm,$525/week,https://goldengateskateboarding.com
Done,Goldman Tennis Center,In Person,Golden Gate Park,Age 4-15,June 2 - August 15,Tennis,Varies,Varies,https://www.lifetimeactivities.com
Done,Grasshopper Kids Camp,In Person,Your home,Age 3-12,June 1 - August 31,Various,9:00am - 12:00pm,Varies,https://www.grasshopperkids.com
Done,Lion's Camp at Hamlin,In Person,Pacific Heights,Grades 1-9,June 22 - August 21,Various,9:00am - 3:00pm,Varies,https://hamlin.org/summer-camp/
Done,Hilltop Creative,In Person,Bernal Heights,Age 4 - 10,June 5 - August 14,Creative,9:00am - 4:00pm,$750/week,https://www.hilltopcreative.studio
Done,House of Air,In Person,Crissy Field,Age 6 - 12,June 8 - August 21,Trampoline,Varies,Varies,https://houseofair.com
Done,iD Tech Camp,In Person,Park Merced,Age 7-17,June 15 - July 24,Tech,Check site,Check site,https://www.idtech.com
Done,Infinite Martial Arts,In Person,Marina,Age 3-12,June 1 - August 28,Martial arts,9:30am - 3:00pm,Register,https://infinite-martialarts.com
Done,Intro to Fencing,In Person,Mission Bay,Age 5 - 14,July 6 - August 21,Fencing,9:00am - 12:00pm,$600/week,https://gsfencers.com
Done,It's Yoga Kids,In Person,Presidio,Age 4-12,June 9 - August 29,Yoga/nature,9:00am - 2:00pm,$499/week,https://www.itsyogakids.com
Done,JCCSF,In Person,Presidio Heights,Age 2 - 16,May 26 - August 21,Various,Varies,$465+,https://www.jccsf.org
Done,Jim Millinder Girls Soccer,In Person,Lone Mountain,Age 5 - 12,June 5 - July 26,Soccer,8:30am - 4:00pm,$299-$599,http://www.jimmillindersusfgirlssoccercamp.com/
Done,Just Us Dragons,In Person,Inner Richmond,Grades 2-6,July 6 - July 17,Art,8:30am - 4:00pm,$575/week,https://www.justusdragons.com/
Done,Katherine Michiels School,In Person,Mission,Age 5-11,June 1 - August 7,Reggio Emilia,9:30am - 3:00pm,$1600/three weeks,https://www.kmsofsf.org
